date,open,high,low,close,volume,average,barCount
2026-01-02 07:55:00-05:00,273.24,273.25,273.2,273.21,2587.0,273.222,12
2026-01-02 08:00:00-05:00,273.24,273.8,272.81,273.2,36388.0,273.226,140
2026-01-02 08:05:00-05:00,273.26,273.33,273.11,273.11,12192.0,273.199,21
2026-01-02 08:10:00-05:00,273.13,273.32,273.11,273.32,810.0,273.141,5
2026-01-02 08:15:00-05:00,273.16,273.25,273.12,273.18,1533.0,273.159,7
2026-01-02 08:20:00-05:00,273.3,273.35,273.16,273.23,3891.0,273.265,9
2026-01-02 08:25:00-05:00,273.16,273.3,273.16,273.22,1949.0,273.228,8
2026-01-02 08:30:00-05:00,273.22,273.22,273.15,273.15,1700.0,273.158,5
2026-01-02 08:35:00-05:00,273.13,273.19,273.12,273.19,2161.0,273.178,8
2026-01-02 08:40:00-05:00,273.11,273.2,273.1,273.15,5262.0,273.182,5
2026-01-02 08:45:00-05:00,273.2,273.35,273.2,273.25,1890.0,273.268,10
2026-01-02 08:50:00-05:00,273.17,273.17,273.14,273.14,400.0,273.158,4
2026-01-02 08:55:00-05:00,273.18,273.18,273.1,273.12,2682.0,273.159,17
2026-01-02 09:00:00-05:00,273.1,273.1,273.0,273.02,5151.0,273.049,20
2026-01-02 09:05:00-05:00,273.02,273.05,272.8,272.86,3114.0,272.952,17
2026-01-02 09:10:00-05:00,273.02,273.2,272.89,272.93,4592.0,273.075,27
2026-01-02 09:15:00-05:00,273.02,273.02,272.99,273.01,759.0,273.009,5
2026-01-02 09:20:00-05:00,272.92,273.0,272.82,272.82,6077.0,272.925,28
2026-01-02 09:25:00-05:00,272.8,272.8,272.0,272.05,82807.0,272.219,346
2026-01-02 09:30:00-05:00,272.25,273.39,271.95,273.19,1348835.0,272.475,4241
2026-01-02 09:35:00-05:00,273.16,274.43,272.92,273.99,583727.0,273.73,3313
2026-01-02 09:40:00-05:00,274.02,275.55,273.95,275.55,809445.0,274.861,4019
2026-01-02 09:45:00-05:00,275.57,277.5,275.52,277.42,1058056.0,276.668,5428
2026-01-02 09:50:00-05:00,277.43,277.84,276.87,277.07,850042.0,277.287,5134
2026-01-02 09:55:00-05:00,277.08,277.28,276.61,276.96,434310.0,276.91,2588
2026-01-02 10:00:00-05:00,276.96,277.75,276.9,277.18,610220.0,277.403,3547
2026-01-02 10:05:00-05:00,277.18,277.22,276.28,276.29,363838.0,276.604,2043
2026-01-02 10:10:00-05:00,276.32,276.46,275.51,275.51,343095.0,276.004,1761
2026-01-02 10:15:00-05:00,275.51,275.51,274.86,274.96,301071.0,275.159,1825
2026-01-02 10:20:00-05:00,275.01,275.01,273.71,273.74,393006.0,274.159,2068
2026-01-02 10:25:00-05:00,273.76,273.88,273.37,273.39,315209.0,273.59,1814
2026-01-02 10:30:00-05:00,273.38,273.39,272.91,273.11,408772.0,273.131,2076
2026-01-02 10:35:00-05:00,273.1,273.18,272.36,272.56,277200.0,272.784,1652
2026-01-02 10:40:00-05:00,272.56,272.99,272.38,272.75,293104.0,272.764,1810
2026-01-02 10:45:00-05:00,272.76,273.29,272.56,272.65,296971.0,272.923,1571
2026-01-02 10:50:00-05:00,272.66,272.75,271.7,271.97,444475.0,272.141,2351
2026-01-02 10:55:00-05:00,271.97,272.21,270.6,270.65,463121.0,271.251,2625
2026-01-02 11:00:00-05:00,270.65,270.69,270.13,270.45,456179.0,270.378,2485
2026-01-02 11:05:00-05:00,270.42,270.71,270.03,270.69,276576.0,270.32,1710
2026-01-02 11:10:00-05:00,270.68,270.74,269.83,270.62,325031.0,270.298,1862
2026-01-02 11:15:00-05:00,270.63,270.85,270.13,270.24,242057.0,270.456,1496
2026-01-02 11:20:00-05:00,270.23,270.66,270.01,270.53,204797.0,270.352,1234
2026-01-02 11:25:00-05:00,270.52,270.58,270.27,270.32,188850.0,270.426,1065
2026-01-02 11:30:00-05:00,270.3,270.97,270.18,270.89,214302.0,270.484,1348
2026-01-02 11:35:00-05:00,270.88,270.96,270.48,270.59,164997.0,270.721,992
2026-01-02 11:40:00-05:00,270.59,270.61,270.15,270.15,170391.0,270.329,1024
2026-01-02 11:45:00-05:00,270.14,270.33,270.02,270.1,203185.0,270.16,1006
2026-01-02 11:50:00-05:00,270.09,270.11,269.58,269.7,248659.0,269.82,1355
2026-01-02 11:55:00-05:00,269.7,269.88,269.6,269.65,130314.0,269.714,841
2026-01-02 12:00:00-05:00,269.64,269.71,269.11,269.23,303722.0,269.372,1803
2026-01-02 12:05:00-05:00,269.22,269.74,269.22,269.67,181458.0,269.518,1097
2026-01-02 12:10:00-05:00,269.68,270.24,269.66,270.23,182567.0,269.973,1099
2026-01-02 12:15:00-05:00,270.23,270.28,269.91,269.93,131878.0,270.097,710
2026-01-02 12:20:00-05:00,269.92,270.14,269.78,270.0,130421.0,269.989,722
2026-01-02 12:25:00-05:00,269.99,270.17,269.84,270.17,159567.0,269.991,887
2026-01-02 12:30:00-05:00,270.18,270.28,269.95,270.02,148747.0,270.115,882
2026-01-02 12:35:00-05:00,270.02,270.22,270.01,270.11,159026.0,270.098,863
2026-01-02 12:40:00-05:00,270.1,270.2,269.91,270.13,108763.0,270.073,701
2026-01-02 12:45:00-05:00,270.15,270.3,270.11,270.16,60755.0,270.187,359
